1,0.005000,0.767305,0.850000,0.750000
2,0.011000,0.539263,1.000000,1.000000
3,0.017000,0.427338,0.850000,0.925000
4,0.024000,0.472796,0.975000,1.000000
5,0.030000,0.258171,0.975000,1.000000
6,0.036000,0.423587,0.975000,1.000000
7,0.042000,0.400573,1.000000,1.000000
8,0.047000,0.352721,1.000000,1.000000
9,0.053000,0.286054,1.000000,1.000000
10,0.059000,0.250976,1.000000,1.000000
11,0.065000,0.327777,1.000000,1.000000
12,0.071000,0.269528,1.000000,1.000000
13,0.076000,0.252563,1.000000,1.000000
14,0.082000,0.429420,1.000000,1.000000
15,0.089000,0.315676,1.000000,1.000000
16,0.095000,0.210651,1.000000,1.000000
17,0.101000,0.256065,1.000000,1.000000
18,0.107000,0.203341,1.000000,1.000000
19,0.113000,0.305351,1.000000,1.000000
20,0.119000,0.231735,1.000000,1.000000
21,0.127000,0.257438,1.000000,1.000000
22,0.133000,0.216827,1.000000,1.000000
23,0.139000,0.307454,1.000000,1.000000
24,0.145000,0.212047,1.000000,1.000000
25,0.152000,0.193599,1.000000,1.000000
26,0.157000,0.235483,1.000000,1.000000
27,0.162000,0.248871,1.000000,1.000000
28,0.168000,0.173946,1.000000,1.000000
29,0.174000,0.241311,1.000000,1.000000
30,0.180000,0.186598,1.000000,1.000000
31,0.186000,0.176084,1.000000,1.000000
32,0.193000,0.181135,1.000000,1.000000
33,0.199000,0.218583,1.000000,1.000000
34,0.205000,0.189223,1.000000,1.000000
35,0.210000,0.197451,1.000000,1.000000
36,0.216000,0.155937,1.000000,1.000000
37,0.222000,0.173733,1.000000,1.000000
38,0.228000,0.198285,1.000000,1.000000
39,0.234000,0.173939,1.000000,1.000000
40,0.240000,0.253231,1.000000,1.000000
41,0.246000,0.158570,1.000000,1.000000
42,0.252000,0.194998,1.000000,1.000000
43,0.258000,0.189834,1.000000,1.000000
44,0.264000,0.197280,1.000000,1.000000
45,0.270000,0.179217,1.000000,1.000000
46,0.276000,0.137325,1.000000,1.000000
47,0.282000,0.154938,1.000000,1.000000
48,0.288000,0.160268,1.000000,1.000000
49,0.294000,0.189273,1.000000,1.000000
50,0.300000,0.174896,1.000000,1.000000
51,0.305000,0.175372,1.000000,1.000000
52,0.311000,0.170465,1.000000,1.000000
53,0.318000,0.148515,1.000000,1.000000
54,0.324000,0.153884,1.000000,1.000000
55,0.330000,0.143665,1.000000,1.000000
56,0.335000,0.213201,1.000000,1.000000
57,0.341000,0.133690,1.000000,1.000000
58,0.347000,0.177620,1.000000,1.000000
59,0.353000,0.175995,1.000000,1.000000
60,0.360000,0.151275,1.000000,1.000000
61,0.366000,0.162337,1.000000,1.000000
62,0.372000,0.186793,1.000000,1.000000
63,0.378000,0.146474,1.000000,1.000000
64,0.383000,0.176870,1.000000,1.000000
65,0.388000,0.175224,1.000000,1.000000
66,0.394000,0.163741,1.000000,1.000000
67,0.400000,0.146964,1.000000,1.000000
68,0.406000,0.197424,1.000000,1.000000
69,0.413000,0.134277,1.000000,1.000000
70,0.419000,0.156360,1.000000,1.000000
71,0.425000,0.161306,1.000000,1.000000
72,0.432000,0.128653,1.000000,1.000000
73,0.438000,0.156514,1.000000,1.000000
74,0.444000,0.164789,1.000000,1.000000
75,0.450000,0.141205,1.000000,1.000000
76,0.456000,0.167626,1.000000,1.000000
77,0.462000,0.150829,1.000000,1.000000
78,0.468000,0.133570,1.000000,1.000000
79,0.474000,0.126922,1.000000,1.000000
80,0.481000,0.153608,1.000000,1.000000
81,0.487000,0.141115,1.000000,1.000000
82,0.492000,0.167797,1.000000,1.000000
83,0.498000,0.143978,1.000000,1.000000
84,0.505000,0.123867,1.000000,1.000000
85,0.511000,0.137804,1.000000,1.000000
86,0.519000,0.146003,1.000000,1.000000
87,0.525000,0.161069,1.000000,1.000000
88,0.531000,0.162322,1.000000,1.000000
89,0.537000,0.151265,1.000000,1.000000
90,0.543000,0.152634,1.000000,1.000000
91,0.549000,0.151436,1.000000,1.000000
92,0.555000,0.136565,1.000000,1.000000
93,0.561000,0.130729,1.000000,1.000000
94,0.567000,0.129613,1.000000,1.000000
95,0.573000,0.143266,1.000000,1.000000
96,0.579000,0.135668,1.000000,1.000000
97,0.585000,0.130834,1.000000,1.000000
98,0.591000,0.118874,1.000000,1.000000
99,0.597000,0.134622,1.000000,1.000000
100,0.603000,0.132781,1.000000,1.000000
