Zaman damgası,Hoca seç,Dersi ne kadar güzel anlatır?,Dersini geçmek ne kadar kolaydır?,Dersi ne kadar iyi öğretir?,Dersi ne kadar eğlenceli anlatır?
26.01.2025 13:27:22,Prof. Dr. M. Fatih Amasyalı,10.0,7.0,8.0,7.0
26.01.2025 13:35:50,Dr. H. İrem Türkmen,5.0,9.0,4.0,3.0
26.01.2025 14:34:48,Dr. Yunus Emre Selçuk,1.0,1.0,1.0,1.0
26.01.2025 14:36:57,Dr. Oğuz Altun,1.0,1.0,1.0,1.0
26.01.2025 14:38:23,Doç. Dr. Mehmet Sıddık Aktaş,1.0,1.0,1.0,1.0
26.01.2025 15:53:59,Prof. Dr. M. Elif Karslıgil,1.0,5.0,1.0,1.0
26.01.2025 15:54:18,Dr. Ahmet Elbir,8.0,6.0,8.0,7.0
26.01.2025 15:55:25,Dr. M. Utku Kalay,1.0,7.0,1.0,1.0
26.01.2025 19:13:44,Doç. Dr. M. Amaç Güvensan,10.0,5.0,7.0,8.0
26.01.2025 21:14:18,Doç. Dr. Mehmet Sıddık Aktaş,10.0,10.0,10.0,10.0
