Zaman damgası,Ders Seç,Dersi geçmek ne kadar kolay?,Ders mesleki açıdan gerekli mi?
10.01.2024 13:07:38,Seminer ve Meslek Etiği,9.0,1.0
10.01.2024 14:27:47,İleri İngilizce 2,8.0,1.0
10.01.2024 14:28:09,Sistem Analizi ve Tasarımı,8.0,8.0
10.01.2024 14:39:49,Mesleki Hukuk ve Etik,10.0,1.0
10.01.2024 14:40:36,Gömülü Sistemler,7.0,8.0
10.01.2024 14:53:24,Robot Teknolojisine Giriş,2.0,4.0
10.01.2024 14:53:38,Sayısal İşaret İşleme,6.0,5.0
11.01.2024 16:17:19,Atatürk İlkeleri ve İnkılâp Tarihi 2,10.0,1.0
12.01.2024 08:45:45,Bilgisayar Mühendisleri İçin Diferansiyel Denklemler,7.0,9.0
13.01.2024 21:07:52,Bilgisayar Donanımı,6.0,10.0
14.01.2024 10:11:50,Seminer ve Meslek Etiği,8.0,1.0
22.01.2024 17:22:29,Bilgisayar Mühendisleri İçin Diferansiyel Denklemler,10.0,10.0
24.01.2024 18:37:33,Bilgisayar Projesi,5.0,9.0
24.01.2024 19:04:35,Atatürk İlkeleri ve İnkılâp Tarihi 2,10.0,1.0
24.01.2024 19:10:16,Atatürk İlkeleri ve İnkılâp Tarihi 1,10.0,1.0
24.01.2024 20:07:52,Çok Displinli Tasarım Projesi,6.0,3.0
24.01.2024 20:44:02,Bilgisayar Donanımı,7.0,10.0
24.01.2024 20:52:15,Türkçe 2,10.0,2.0
24.01.2024 20:55:02,Algoritma Analizi,2.0,9.0
24.01.2024 20:55:08,Türkçe 1,10.0,2.0
24.01.2024 20:55:12,Bilgisayar Bilimlerine Giriş,5.0,10.0
24.01.2024 20:55:21,Bilgisayar Donanımı,2.0,6.0
24.01.2024 20:55:34,Devre Teorisi,1.0,1.0
24.01.2024 20:55:47,İşletim Sistemleri,1.0,9.0
24.01.2024 20:56:02,Veritabanı Yönetimi,7.0,8.0
24.01.2024 22:22:04,Ağ Teknolojileri,5.0,10.0
24.01.2024 22:26:20,Fizik 1,4.0,2.0
24.01.2024 22:31:16,Bitirme Çalışması,5.0,10.0
25.01.2024 08:37:41,İşletim Sistemleri,3.0,10.0
31.01.2024 15:32:00,Yönetim Bilgi Sistemleri,8.0,4.0
31.01.2024 15:33:28,Yapay Zeka,7.0,10.0
31.01.2024 15:54:09,Veri İletişimi ve Bilgisayar Ağları,6.0,7.0
01.02.2024 07:26:07,İstatistik ve Olasılık Hesapları,3.0,2.0
01.02.2024 15:45:21,Mikroişlemci Sistemleri,2.0,6.0
01.02.2024 15:45:37,Mikroişlemci Sistemleri ve Assembly Dili,2.0,6.0
01.02.2024 16:32:40,Uluslararası Pazarlama,7.0,1.0
02.02.2024 17:14:43,Mikroişlemci Sistemleri ve Assembly Dili,1.0,1.0
02.02.2024 17:15:04,Atatürk İlkeleri ve İnkılâp Tarihi 1,10.0,1.0
02.02.2024 17:15:51,Veritabanı Yönetimi,7.0,10.0
