Ders Adı
Ağ Teknolojileri
Algoritma Analizi
Alt Seviye Programlama
Atatürk İlkeleri ve İnkılâp Tarihi 1
Atatürk İlkeleri ve İnkılâp Tarihi 2
Ayrık Matematik
Bilgisayar Bilimlerine Giriş
Bilgisayar Donanımı
Bilgisayar Grafiğine Giriş
Bilgisayar Mühendisleri İçin Diferansiyel Denklemler
Bilgisayar Mühendisleri için Sinyaller ve Sistemler
Bilgisayar Projesi
Bilgiye Erişim Ve Arama Motorları
Bilişim Sistemleri Güvenliği
Bitirme Çalışması
Biyoenformatiğe Giriş
Büyük Veri İşleme Ve Analizi
Çok Displinli Tasarım Projesi
Dağıtık Sistemler
Devre Teorisi
Doğal Dil İşlemeye Giriş
Elektronik Devreler
Fizik 1
Genel Staj
Gömülü Sistemler
Görüntü İşleme
Hesaplama Kuramı
İleri İngilizce 1
İleri İngilizce 2
İstatistik ve Olasılık Hesapları
İstatistiksel Veri Analizi
İş Sağlığı ve Güvenliği 1
İş Sağlığı ve Güvenliği 2
İşletim Sistemleri
Lineer Cebir
Lojik Devreler
Matematik 1
Matematik 2
Mesleki Hukuk ve Etik
Mesleki Staj
Mikroişlemci Sistemleri
Mikroişlemci Sistemleri ve Assembly Dili
Mobil Programlamaya Giriş
Mühendisler için Yarıiletken Fiziği
Nesneye Yönelik Programlama
Oyun Geliştirmeye Giriş
Robot Teknolojisine Giriş
Sayısal Analiz
Sayısal İşaret İşleme
Seminer ve Meslek Etiği
Sistem Analizi ve Tasarımı
Sistem Programlama
Türkçe 1
Türkçe 2
Uzman Sistemlere Giriş
Veri İletişimi
Veri İletişimi ve Bilgi Ağları
Veri Madenciliğine Giriş
Veri Tabanı Sistemlerinde Güncel Konular
Veri Yapıları ve Algoritmalar
Veritabanı Sistemlerinin Gerçekleştirilmesi
Veritabanı Yönetimi
Yapay Sinir Ağlarına Giriş
Yapay Zeka
Yapısal Programlama
Yapısal Programlamaya Giriş
Yazılım Kalite ve Test Süreci
Yazılım Mühendisliği
Yönetim Bilgi Sistemleri
